,bangkal,bel-air,carmona,cembo,comembo,dasmarinas,eastrembo,forbespark,guadalupenuevo,guadalupeviejo,kasilawan,lapaz,magallanes,olympia,palanan,pembo,pinagkaisahan,piodelpilar,pitogo,poblacion,postpropernorth,postpropersouth,rizal,sanantonio,sanisidro,sanlorenzo,santacruz,singkamas,southcembo,tejeros,urdaneta,valenzuela,westrembo
2005.0,1923.0,54.0,198.0,2158.0,49.0,270.0,589.0,21.0,145.0,501.0,16.0,133.0,365.0,9.0,78.0,5536.0,149.0,824.0,6509.0,200.0,996.0,9726.0,1923.0,54.0,198.0,120.0,251.0,1308.0,12214.0,2689.0,86.0,221.0,251.0
2006.0,1335.0,12.0,156.0,2016.0,25.0,102.0,246.0,12.0,81.0,423.0,12.0,101.0,100.0,6.0,26.0,4120.0,67.0,466.0,4653.0,2158.0,41.0,184.0,1335.0,12.0,156.0,460.0,149.0,824.0,6509.0,1389.0,19.0,102.0,149.0
2007.0,1389.0,19.0,102.0,2158.0,41.0,184.0,489.0,15.0,102.0,460.0,11.0,109.0,256.0,7.0,43.0,4752.0,93.0,540.0,5385.0,129.0,716.0,5968.0,1389.0,19.0,102.0,752.0,200.0,996.0,9726.0,1483.0,31.0,178.0,200.0
2008.0,1483.0,31.0,178.0,2269.0,60.0,231.0,652.0,19.0,124.0,489.0,14.0,126.0,230.0,5.0,57.0,5123.0,129.0,716.0,5968.0,149.0,824.0,6509.0,1483.0,31.0,178.0,97.0,165.0,1164.0,10383.0,1923.0,54.0,198.0,165.0
2009.0,1923.0,54.0,198.0,2158.0,49.0,270.0,589.0,21.0,145.0,501.0,16.0,133.0,365.0,9.0,78.0,5536.0,149.0,824.0,6509.0,200.0,996.0,9726.0,1923.0,54.0,198.0,120.0,251.0,1308.0,12214.0,2689.0,86.0,221.0,251.0
2010.0,2689.0,86.0,221.0,3971.0,66.0,358.0,830.0,17.0,180.0,651.0,19.0,156.0,389.0,12.0,81.0,8530.0,200.0,996.0,9726.0,165.0,1164.0,10383.0,2689.0,86.0,221.0,270.0,589.0,21.0,1244.0,2105.0,21.0,208.0,589.0
2011.0,2105.0,21.0,208.0,4511.0,87.0,510.0,1204.0,25.0,210.0,760.0,21.0,148.0,474.0,11.0,88.0,9054.0,165.0,1164.0,10383.0,251.0,1308.0,12214.0,2105.0,21.0,208.0,358.0,830.0,17.0,23.0,452.0,324.0,234.0,830.0
2012.0,3223.0,90.0,320.0,4209.0,102.0,489.0,1620.0,23.0,255.0,812.0,22.0,152.0,791.0,14.0,92.0,10655.0,251.0,1308.0,12214.0,270.0,589.0,21.0,253.0,643.0,523.0,510.0,1204.0,25.0,5645.0,435.0,454.0,765.0,1204.0
2013.0,1335.0,12.0,156.0,2016.0,25.0,102.0,246.0,12.0,81.0,423.0,12.0,101.0,100.0,6.0,26.0,4120.0,67.0,466.0,4653.0,2158.0,41.0,184.0,1335.0,12.0,156.0,460.0,149.0,824.0,6509.0,1389.0,19.0,102.0,149.0
2014.0,2689.0,86.0,221.0,3971.0,66.0,358.0,830.0,17.0,180.0,651.0,19.0,156.0,389.0,12.0,81.0,8530.0,200.0,996.0,9726.0,510.0,1204.0,25.0,768.0,768.0,816.0,231.0,652.0,19.0,432.0,268.0,234.0,546.0,652.0
2015.0,1335.0,12.0,156.0,2016.0,25.0,102.0,246.0,12.0,81.0,423.0,12.0,101.0,100.0,6.0,26.0,4120.0,67.0,466.0,4653.0,489.0,1620.0,23.0,54.0,34.0,456.0,358.0,830.0,17.0,435.0,456.0,234.0,980.0,830.0
2016.0,1389.0,19.0,102.0,2158.0,41.0,184.0,489.0,15.0,102.0,460.0,11.0,109.0,256.0,7.0,43.0,4752.0,93.0,540.0,5385.0,231.0,652.0,19.0,456.0,768.0,783.0,102.0,246.0,12.0,5435.0,546.0,546.0,21.0,246.0
2017.0,1335.0,12.0,156.0,2016.0,25.0,102.0,246.0,12.0,81.0,423.0,12.0,101.0,100.0,6.0,26.0,4120.0,67.0,466.0,4653.0,2158.0,41.0,184.0,1335.0,12.0,156.0,460.0,149.0,824.0,6509.0,1389.0,19.0,102.0,149.0
2018.0,1923.0,54.0,198.0,2158.0,49.0,270.0,589.0,21.0,145.0,501.0,16.0,133.0,365.0,9.0,78.0,5536.0,149.0,824.0,6509.0,200.0,996.0,9726.0,1923.0,54.0,198.0,120.0,251.0,1308.0,12214.0,2689.0,86.0,221.0,251.0
2019.0,1483.0,31.0,178.0,2269.0,60.0,231.0,652.0,19.0,124.0,489.0,14.0,126.0,230.0,5.0,57.0,5123.0,129.0,716.0,5968.0,358.0,830.0,17.0,879.0,345.0,658.0,489.0,1620.0,23.0,982.0,673.0,456.0,534.0,1620.0
2020.0,2689.0,86.0,221.0,3971.0,66.0,358.0,830.0,17.0,180.0,651.0,19.0,156.0,389.0,12.0,81.0,8530.0,200.0,996.0,9726.0,165.0,1164.0,10383.0,2689.0,86.0,221.0,270.0,589.0,21.0,1244.0,2105.0,21.0,208.0,589.0
2021.0,1982.0,48.0,190.0,2934.0,53.0,258.0,649.0,17.0,140.0,549.0,16.0,131.0,293.0,9.0,59.0,6407.0,142.0,778.0,7328.0,605.0,922.0,2655.0,1205.0,330.0,507.0,309.0,810.0,74.0,2066.0,1012.0,275.0,400.0,810.0
2022.0,1993.0,49.0,191.0,2956.0,53.0,258.0,650.0,16.0,140.0,550.0,16.0,131.0,291.0,9.0,59.0,6440.0,143.0,779.0,7362.0,604.0,933.0,2414.0,1181.0,346.0,529.0,307.0,846.0,19.0,1635.0,964.0,288.0,411.0,846.0
2023.0,2003.0,49.0,191.0,2977.0,54.0,258.0,650.0,16.0,140.0,551.0,16.0,131.0,290.0,9.0,59.0,6472.0,144.0,780.0,7396.0,603.0,945.0,2173.0,1157.0,363.0,550.0,305.0,881.0,-37.0,1203.0,916.0,301.0,422.0,881.0
2024.0,2014.0,50.0,192.0,2999.0,54.0,259.0,650.0,16.0,140.0,553.0,16.0,132.0,288.0,9.0,59.0,6504.0,144.0,781.0,7430.0,602.0,956.0,1931.0,1134.0,380.0,571.0,304.0,917.0,-92.0,772.0,869.0,313.0,434.0,917.0
2025.0,2025.0,51.0,192.0,3020.0,54.0,259.0,651.0,16.0,141.0,554.0,16.0,132.0,286.0,9.0,59.0,6536.0,145.0,782.0,7464.0,602.0,968.0,1690.0,1110.0,396.0,592.0,302.0,952.0,-147.0,341.0,821.0,326.0,445.0,952.0
2026.0,2036.0,51.0,193.0,3042.0,54.0,259.0,651.0,16.0,141.0,555.0,16.0,132.0,285.0,9.0,59.0,6568.0,146.0,784.0,7498.0,601.0,979.0,1449.0,1086.0,413.0,614.0,300.0,988.0,-203.0,-91.0,773.0,338.0,457.0,988.0
2027.0,2046.0,52.0,193.0,3063.0,54.0,259.0,651.0,16.0,141.0,556.0,16.0,133.0,283.0,9.0,59.0,6601.0,146.0,785.0,7532.0,600.0,991.0,1207.0,1062.0,430.0,635.0,299.0,1024.0,-258.0,-522.0,726.0,351.0,468.0,1024.0
2028.0,2057.0,53.0,194.0,3085.0,54.0,259.0,652.0,16.0,141.0,557.0,16.0,133.0,282.0,9.0,59.0,6633.0,147.0,786.0,7566.0,599.0,1002.0,966.0,1038.0,447.0,656.0,297.0,1059.0,-313.0,-953.0,678.0,364.0,480.0,1059.0
2029.0,2068.0,53.0,194.0,3106.0,54.0,259.0,652.0,16.0,141.0,559.0,16.0,133.0,280.0,9.0,59.0,6665.0,148.0,787.0,7600.0,598.0,1014.0,725.0,1014.0,463.0,678.0,295.0,1095.0,-369.0,-1385.0,630.0,376.0,491.0,1095.0
2030.0,2079.0,54.0,195.0,3128.0,54.0,259.0,652.0,16.0,141.0,560.0,16.0,134.0,279.0,9.0,59.0,6697.0,149.0,788.0,7634.0,597.0,1025.0,484.0,990.0,480.0,699.0,293.0,1130.0,-424.0,-1816.0,582.0,389.0,502.0,1130.0
2031.0,2089.0,54.0,196.0,3149.0,54.0,259.0,653.0,16.0,141.0,561.0,16.0,134.0,277.0,9.0,59.0,6729.0,149.0,789.0,7668.0,597.0,1037.0,242.0,966.0,497.0,720.0,292.0,1166.0,-479.0,-2247.0,535.0,401.0,514.0,1166.0
2032.0,2100.0,55.0,196.0,3171.0,55.0,259.0,653.0,15.0,142.0,562.0,16.0,134.0,275.0,9.0,59.0,6762.0,150.0,790.0,7702.0,596.0,1048.0,1.0,942.0,514.0,741.0,290.0,1202.0,-535.0,-2679.0,487.0,414.0,525.0,1202.0
2033.0,2111.0,56.0,197.0,3192.0,55.0,259.0,653.0,15.0,142.0,563.0,16.0,135.0,274.0,9.0,58.0,6794.0,151.0,791.0,7736.0,595.0,1060.0,-240.0,918.0,530.0,763.0,288.0,1237.0,-590.0,-3110.0,439.0,427.0,537.0,1237.0
2034.0,2122.0,56.0,197.0,3214.0,55.0,259.0,654.0,15.0,142.0,565.0,16.0,135.0,272.0,9.0,58.0,6826.0,152.0,792.0,7770.0,594.0,1071.0,-481.0,894.0,547.0,784.0,286.0,1273.0,-645.0,-3541.0,391.0,439.0,548.0,1273.0
2035.0,2132.0,57.0,198.0,3235.0,55.0,259.0,654.0,15.0,142.0,566.0,16.0,135.0,271.0,9.0,58.0,6858.0,152.0,793.0,7804.0,593.0,1083.0,-723.0,870.0,564.0,805.0,285.0,1308.0,-701.0,-3973.0,344.0,452.0,559.0,1308.0
2036.0,2143.0,58.0,198.0,3257.0,55.0,260.0,654.0,15.0,142.0,567.0,16.0,136.0,269.0,9.0,58.0,6890.0,153.0,794.0,7838.0,593.0,1094.0,-964.0,846.0,580.0,826.0,283.0,1344.0,-756.0,-4404.0,296.0,465.0,571.0,1344.0
2037.0,2154.0,58.0,199.0,3278.0,55.0,260.0,655.0,15.0,142.0,568.0,16.0,136.0,267.0,9.0,58.0,6923.0,154.0,795.0,7872.0,592.0,1106.0,-1205.0,823.0,597.0,848.0,281.0,1379.0,-811.0,-4835.0,248.0,477.0,582.0,1379.0
2038.0,2165.0,59.0,199.0,3300.0,55.0,260.0,655.0,15.0,143.0,569.0,16.0,137.0,266.0,9.0,58.0,6955.0,154.0,796.0,7906.0,591.0,1117.0,-1446.0,799.0,614.0,869.0,280.0,1415.0,-867.0,-5267.0,201.0,490.0,594.0,1415.0
2039.0,2175.0,60.0,200.0,3321.0,55.0,260.0,655.0,15.0,143.0,571.0,16.0,137.0,264.0,9.0,58.0,6987.0,155.0,797.0,7940.0,590.0,1129.0,-1688.0,775.0,631.0,890.0,278.0,1451.0,-922.0,-5698.0,153.0,502.0,605.0,1451.0
2040.0,2186.0,60.0,200.0,3343.0,56.0,260.0,656.0,15.0,143.0,572.0,16.0,137.0,263.0,9.0,58.0,7019.0,156.0,798.0,7974.0,589.0,1140.0,-1929.0,751.0,647.0,911.0,276.0,1486.0,-977.0,-6129.0,105.0,515.0,617.0,1486.0
2041.0,2197.0,61.0,201.0,3364.0,56.0,260.0,656.0,15.0,143.0,573.0,16.0,138.0,261.0,9.0,58.0,7051.0,157.0,799.0,8007.0,588.0,1152.0,-2170.0,727.0,664.0,933.0,274.0,1522.0,-1033.0,-6561.0,57.0,528.0,628.0,1522.0
2042.0,2208.0,62.0,201.0,3386.0,56.0,260.0,656.0,14.0,143.0,574.0,16.0,138.0,260.0,9.0,58.0,7084.0,157.0,800.0,8041.0,588.0,1163.0,-2411.0,703.0,681.0,954.0,273.0,1557.0,-1088.0,-6992.0,10.0,540.0,639.0,1557.0
2043.0,2218.0,62.0,202.0,3407.0,56.0,260.0,657.0,14.0,143.0,575.0,16.0,138.0,258.0,9.0,58.0,7116.0,158.0,802.0,8075.0,587.0,1175.0,-2653.0,679.0,697.0,975.0,271.0,1593.0,-1144.0,-7423.0,-38.0,553.0,651.0,1593.0
2044.0,2229.0,63.0,203.0,3429.0,56.0,260.0,657.0,14.0,144.0,577.0,16.0,139.0,256.0,9.0,58.0,7148.0,159.0,803.0,8109.0,586.0,1186.0,-2894.0,655.0,714.0,996.0,269.0,1628.0,-1199.0,-7855.0,-86.0,565.0,662.0,1628.0
2045.0,2240.0,64.0,203.0,3450.0,56.0,260.0,657.0,14.0,144.0,578.0,16.0,139.0,255.0,9.0,58.0,7180.0,160.0,804.0,8143.0,585.0,1198.0,-3135.0,631.0,731.0,1018.0,267.0,1664.0,-1254.0,-8286.0,-134.0,578.0,674.0,1664.0
2046.0,2251.0,64.0,204.0,3472.0,56.0,260.0,658.0,14.0,144.0,579.0,16.0,139.0,253.0,9.0,57.0,7213.0,160.0,805.0,8177.0,584.0,1209.0,-3376.0,607.0,748.0,1039.0,266.0,1700.0,-1310.0,-8717.0,-181.0,591.0,685.0,1700.0
2047.0,2261.0,65.0,204.0,3493.0,56.0,260.0,658.0,14.0,144.0,580.0,16.0,140.0,252.0,9.0,57.0,7245.0,161.0,806.0,8211.0,583.0,1221.0,-3618.0,583.0,764.0,1060.0,264.0,1735.0,-1365.0,-9149.0,-229.0,603.0,696.0,1735.0
2048.0,2272.0,66.0,205.0,3515.0,57.0,261.0,658.0,14.0,144.0,582.0,17.0,140.0,250.0,9.0,57.0,7277.0,162.0,807.0,8245.0,583.0,1232.0,-3859.0,559.0,781.0,1081.0,262.0,1771.0,-1420.0,-9580.0,-277.0,616.0,708.0,1771.0
2049.0,2283.0,66.0,205.0,3536.0,57.0,261.0,659.0,14.0,144.0,583.0,17.0,140.0,248.0,9.0,57.0,7309.0,162.0,808.0,8279.0,582.0,1244.0,-4100.0,535.0,798.0,1103.0,260.0,1806.0,-1476.0,-10011.0,-324.0,628.0,719.0,1806.0
2050.0,2294.0,67.0,206.0,3558.0,57.0,261.0,659.0,14.0,145.0,584.0,17.0,141.0,247.0,9.0,57.0,7341.0,163.0,809.0,8313.0,581.0,1255.0,-4341.0,512.0,815.0,1124.0,259.0,1842.0,-1531.0,-10443.0,-372.0,641.0,731.0,1842.0