id,year,bangkal,bel-air,carmona,cembo,comembo,dasmarinas,eastrembo,forbespark,guadalupenuevo,guadalupeviejo,kasilawan,lapaz,magallanes,olympia,palanan,pembo,pinagkaisahan,piodelpilar,pitogo,poblacion,postpropernorth,postpropersouth,rizal,sanantonio,sanisidro,sanlorenzo,santacruz,singkamas,southcembo,tejeros,urdaneta,valenzuela,westrembo
1,2005,130,3,126,1806,12,120,205,2,89,398,8,98,108,4,23,3725,29,456,4210,2016,25,102,246,12,81,423,129,716,5968,1335,12,89,456
2,2006,1335,12,156,2016,25,102,246,12,81,423,12,101,100,6,26,4120,67,466,4653,2158,41,184,1335,12,156,460,149,824,6509,1389,19,81,466
3,2007,1389,19,102,2158,41,184,489,15,102,460,11,109,256,7,43,4752,93,540,5385,129,716,5968,1389,19,102,752,200,996,9726,1483,31,102,540
4,2008,1483,31,178,2269,60,231,652,19,124,489,14,126,230,5,57,5123,129,716,5968,149,824,6509,1483,31,178,97,165,1164,10383,1923,54,124,716
5,2009,1923,54,198,2158,49,270,589,21,145,501,16,133,365,9,78,5536,149,824,6509,200,996,9726,1923,54,198,120,251,1308,12214,2689,86,145,824
6,2010,2689,86,221,3971,66,358,830,17,180,651,19,156,389,12,81,8530,200,996,9726,165,1164,10383,2689,86,221,270,589,21,1244,2105,21,180,996
7,2011,2105,21,208,4511,87,510,1204,25,210,760,21,148,474,11,88,9054,165,1164,10383,251,1308,12214,2105,21,208,358,830,17,23,452,324,210,1164
8,2012,3223,90,320,4209,102,489,1620,23,255,812,22,152,791,14,92,10655,251,1308,12214,270,589,21,253,643,523,510,1204,25,5645,435,454,255,1308
9,2013,1483,31,178,2269,60,231,652,19,124,489,14,126,230,5,57,5123,129,716,5968,358,830,17,879,345,658,489,1620,23,982,673,456,124,716
10,2014,2689,86,221,3971,66,358,830,17,180,651,19,156,389,12,81,8530,200,996,9726,510,1204,25,768,768,816,231,652,19,432,268,234,180,996
11,2015,1335,12,156,2016,25,102,246,12,81,423,12,101,100,6,26,4120,67,466,4653,489,1620,23,54,34,456,358,830,17,435,456,234,81,466
12,2016,1389,19,102,2158,41,184,489,15,102,460,11,109,256,7,43,4752,93,540,5385,231,652,19,456,768,783,102,246,12,5435,546,546,102,540
13,2017,1483,31,178,2269,60,231,652,19,124,489,14,126,230,5,57,5123,129,716,5968,358,830,17,45,435,435,34,678,324,786,56,879,124,716
14,2018,3223,90,320,4209,102,489,1620,23,255,812,22,152,791,14,92,10655,251,1308,12214,270,589,21,253,643,523,510,1204,25,5645,435,454,255,1308
15,2019,1483,31,178,2269,60,231,652,19,124,489,14,126,230,5,57,5123,129,716,5968,358,830,17,879,345,658,489,1620,23,982,673,456,124,716
16,2020,1483,31,178,2269,60,231,652,19,124,489,14,126,230,5,57,5123,129,716,5968,358,830,17,879,345,658,489,1620,23,982,673,456,124,716